class-row,class-topic,Day,Date,Topic,Reading,Assign-OUT,Assign-DUE
,,W,9.06,"Welcome - Ice breakers, Learning goals, Worries, What is CS",,hw00,
,,F,9.08,How computers work ,,hw01,hw00
,inClass,M,9.11,"Python intro, Pair programming ",,,ic01
,,W,9.13,User Input,,,
,,F,9.15,Numbers,,hw02,hw01
noClass,italic,M,9.18,NO CLASS - Personal Day,,,
,,W,9.2,Mathematical operators,,,
,speaker,F,9.22,Code for Good Spotlight,,hw03,"hw02, cfg01"
,,M,9.25,"Conditional (""if"") statements",,,
,,W,9.27,Strings and string methods,,,
,,F,9.29,The main() function ,,hw04,hw03
,inClass,M,10.02,Debugging,,,ic02
,,W,10.04,For loops and While loops,,,
,,F,10.06,The random module,,hw05,hw04
noClass,italic,M,10.09,NO CLASS - UNIVERSITY HOLIDAY ,,,
,inClass,W,10.11,Documentation,,,ic03
,,F,10.13,Writing functions,,hw06,hw05
,,M,10.16,More functions ,,,
,,W,10.18,Lists,,,
,,F,10.2,Dictionaries,,,hw06
,inClass,M,10.23,Code reuse,,,ic04
,speaker,W,10.25,Code for Good Spotlight,,,cfg02
,exam,F,10.27,Extra Credit Midterm ,,hw07,
,,M,10.3,Recursion pt. 1,,,
,,W,11.01,Recursion pt. 2,,,
,,F,11.03,Classes pt. 1: Attributes and Methods,,proj,hw07
,,M,11.06,Classes pt. 2: OOP,,,
,,W,11.08,Classes pt 3: Inheritance,,,
noClass,italic,F,11.1,NO CLASS - UNIVERSITY HOLIDAY ,,,
,inClass,M,11.13,Paper prototyping,,,ic05
,,W,11.15,Animation,,,
,,F,11.17,Interaction,,,proj-proposal
,,M,11.2,Working with files ,,,
noClass,italic,W,11.22,NO CLASS - Everyone take a personal day ,,,
noClass ,italic ,F,11.24,NO CLASS - UNIVERSITY HOLIDAY ,,,
,,M,11.27,Introduction to algorithms,,,
,inClass,W,11.29,Python packages and graphics,,,ic06
,proj,F,12.01,Final project workshop,,,proj-prototypeI
,,M,12.04,Handling exceptions,,,
,,W,12.06,Advanced Topics - HCI,,,
,speaker,F,12.08,Code for Good Spotlight,,,"proj-prototypeII, cfg03"
,,M,12.11,Wrap-up,,,
presy,proj,W,12.13,Final Project Demo Day,,,
presy,proj ,F,12.15,Final Project Demo Day,,,proj
